ID,성별,나이,머리둘레,키,목뒤높이,샅높이,목밑둘레,가슴둘레,젖가슴둘레,젖가슴아래둘레,허리둘레,배둘레,엉덩이둘레,겨드랑둘레,어깨가쪽사이길이,팔길이,등길이,귀구슬사이머리위길이,귀구슬사이너비,귀바퀴뿌리-귀바퀴뿌리뒤직선길이,발직선길이,몸무게
5_4378,남,14,580,1707,1478,749,440,1007,1009,960,902,933,1003,465,415,580,425,385,151,24,251,76
5_4379,여,43,540,1592,1347,719,365,802,776,678,623,644,844,350,395,550,355,370,131,19,224,44.5
5_4380,남,43,550,1728,1486,788,425,1022,1007,950,860,840,944,440,446,600,410,390,143,18,247,70.5
5_4381,남,33,580,1727,1480,774,440,1037,1010,950,860,887,968,437,447,607,393,400,150,25,253,74
5_4382,남,33,570,1794,1527,815,410,984,907,828,787,848,958,412,435,615,410,400,142,19,256,71
5_4383,남,36,590,1754,1494,766,460,1090,1054,986,908,900,1048,460,460,612,425,400,150,23,250,83
5_4384,남,37,550,1510,1260,612,365,934,888,846,768,758,870,374,384,482,363,367,140,22,222,51
5_4385,남,41,590,1684,1417,708,445,1025,985,907,824,838,994,437,440,595,407,400,151,22,239,75
5_4386,남,15,545,1733,1484,802,440,1000,995,945,846,867,988,448,420,590,415,400,152,22,263,79
5_4387,여,31,560,1613,1378,754,355,812,797,668,640,640,840,337,395,545,364,372,129,19,230,45
5_4388,여,16,550,1620,1367,727,365,868,835,730,677,788,974,355,405,560,487,390,140,18,237,54.5
5_4389,여,53,550,1458,1216,603,375,890,964,846,831,904,857,384,374,497,334,360,131,24,223,52.5
5_4390,여,12,530,1495,1270,688,355,773,792,690,670,700,848,308,375,525,325,375,127,17,231,43.5
5_4391,여,15,560,1564,1316,678,395,833,810,698,676,783,940,340,400,520,343,392,133,19,230,52.5
5_4392,남,63,550,1738,1474,765,445,1023,1010,968,892,904,1000,425,420,585,415,405,153,17,267,78
5_4393,여,41,550,1499,1277,635,370,902,953,811,838,872,908,399,360,516,370,365,136,25,223,55
5_4394,남,15,570,1597,1350,726,415,877,854,828,778,765,864,388,395,553,345,383,158,25,239,55
5_4395,남,16,580,1713,1460,772,375,847,778,725,683,682,904,387,410,600,390,367,139,24,244,54.5
5_4396,남,16,565,1682,1433,748,400,910,888,842,725,725,940,412,425,574,387,395,143,21,247,62.5
5_4397,남,13,560,1700,1455,824,375,830,763,735,670,708,868,350,405,585,380,374,137,18,251,50.5
5_4398,남,14,580,1640,1390,720,395,838,828,778,750,780,900,380,407,548,385,382,147,23,239,59
5_4399,남,33,545,1558,1328,714,375,873,865,827,780,808,924,375,380,540,335,366,131,18,234,59
5_4400,남,50,,1710,1438,744,430,928,884,843,773,738,906,415,408,574,395,373,144,19,255,62
5_4401,남,17,580,1765,1502,760,450,1048,1015,983,956,893,982,476,414,585,416,395,144,22,270,82.5
5_4402,남,39,,1665,1416,730,415,987,1007,922,880,920,1005,456,380,560,366,387,141,21,243,77.5
5_4403,남,33,,1620,1355,684,440,963,962,917,872,887,970,440,413,544,368,408,145,18,227,68.5
5_4404,여,39,540,1629,1363,704,375,858,853,707,637,723,899,364,385,555,363,370,127,19,234,49.5
5_4405,남,8,520,1274,1055,565,315,647,597,568,535,585,660,280,318,437,273,375,123,24,198,25.5
5_4406,남,7,510,1210,1014,500,305,663,653,613,590,605,698,278,305,415,295,354,130,19,197,26.5
5_4407,남,10,510,1208,984,503,320,682,688,656,650,693,720,290,314,405,270,353,123,18,180,29
5_4408,남,8,520,1420,1190,654,340,755,742,686,668,727,782,332,354,473,312,383,132,24,210,39.5
5_4409,남,8,510,1252,1029,553,310,628,603,568,560,588,650,270,288,415,273,374,133,19,188,25
5_4410,남,8,530,1145,950,460,293,626,602,580,590,612,640,268,277,374,265,345,121,21,182,24
5_4411,남,10,515,1313,1095,623,315,619,601,562,536,555,648,264,325,456,278,357,121,20,193,25.5
5_4412,남,9,525,1484,1244,682,340,708,687,640,597,657,774,327,344,508,323,373,131,22,224,37.5
5_4413,남,10,520,1312,1090,567,315,632,607,582,560,580,676,278,315,418,288,383,125,24,200,26.5
5_4414,여,8,500,1270,1058,555,300,600,578,530,498,530,640,267,296,425,273,365,123,18,184,23
5_4415,여,8,510,1275,1073,572,320,593,578,542,520,548,634,273,305,445,308,370,117,24,197,23.5
5_4416,여,7,520,1237,1020,533,310,627,613,585,572,602,707,272,330,400,285,355,117,21,186,27.5
5_4417,여,10,540,1367,1150,624,310,724,692,610,610,660,772,287,355,465,285,370,130,18,215,36
5_4418,남,44,560,1756,1488,784,430,1007,957,895,850,850,997,443,415,595,403,385,140,20,261,74.5
5_4419,남,42,560,1654,1400,735,410,1063,1045,957,884,850,957,470,405,565,390,373,142,22,247,74
5_4420,남,38,570,1695,1440,719,455,1082,1090,1008,963,930,993,475,425,575,414,380,150,20,245,82.5
5_4421,남,40,575,1674,1415,744,435,1063,1033,943,872,857,963,435,453,550,392,386,161,22,234,73
5_4422,남,30,575,1698,1430,762,435,1018,978,910,885,870,963,453,418,568,385,393,146,22,259,72.5
