cs_url,shop_name,shop_tag
https://www.brandi.co.kr/shop/mindolpco/cscenter,민돌프코,#20대중반#캐주얼#마켓
https://www.brandi.co.kr/shop/wannabemall/cscenter,워너비몰,#20대후반#페미닌#로드샵
https://www.brandi.co.kr/shop/leeslow/cscenter,리슬로우,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/ladyl/cscenter,레이디엘,#20대중반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/cottonlog/cscenter,코튼로그,#20대초반#페미닌#마켓
https://www.brandi.co.kr/shop/analoset/cscenter,아날로젯,#20대중반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/melloowmood/cscenter,멜로우무드,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/bagelshop/cscenter,베이글샵,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/gangjjang/cscenter,가방공장장,#20대중반#심플베이직#로드샵
https://www.brandi.co.kr/shop/gyulfactory/cscenter,귤팩토리,#20대초반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/woommarket/cscenter,움마켓,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/anotherlife/cscenter,어나더라이프,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/doubledot/cscenter,더블도트,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/chaebubble/cscenter,채버블,#20대중반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/treemingbird/cscenter,트리밍버드,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/ofmoment/cscenter,오브모먼트,#20대후반#심플베이직#마켓
https://www.brandi.co.kr/shop/jenough/cscenter,제이너프,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/dailymood/cscenter,데일리무드,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/ahmerry/cscenter,아메리,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/lovlenique/cscenter,러블니크,#20대중반#러블리#마켓
https://www.brandi.co.kr/shop/ohyeahmarket/cscenter,오예마켓,#20대중반#러블리#마켓
https://www.brandi.co.kr/shop/buckling/cscenter,버클링,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/kuchimachi/cscenter,쿠치마치,#20대초반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/tovgray/cscenter,토브그레이,#20대후반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/inour/cscenter,인아워,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/darleneyou/cscenter,달린유,#20대중반#페미닌#마켓
https://www.brandi.co.kr/shop/fromdal/cscenter,프롬달,#20대초반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/maynine/cscenter,메이나인,#20대중반#심플베이직#로드샵
https://www.brandi.co.kr/shop/cheesebean/cscenter,치즈빈,#20대초반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/inbloom/cscenter,인블룸,#20대후반#심플베이직#마켓
https://www.brandi.co.kr/shop/aake/cscenter,아케,#20대중반#캐주얼#마켓
https://www.brandi.co.kr/shop/brickrose/cscenter,브릭로즈,#20대중반#페미닌#마켓
https://www.brandi.co.kr/shop/mademade/cscenter,마드마드,#20대중반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/heartfinger/cscenter,하트핑거,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/linaj/cscenter,리나제이슈즈,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/rozley/cscenter,로즐리,#20대후반#페미닌#로드샵
https://www.brandi.co.kr/shop/ssongroom/cscenter,쏭룸,#20대후반#심플베이직#마켓
https://www.brandi.co.kr/shop/coinlaundry/cscenter,코인런드리,#20대중반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/jennyb/cscenter,제니비,#20대후반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/magentab/cscenter,마젠타비,#20대후반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/imvely/cscenter,임블리,#20대후반#러블리#쇼핑몰
https://www.brandi.co.kr/shop/urbanblonde/cscenter,어반블롱드,#20대중반#페미닌#마켓
https://www.brandi.co.kr/shop/bywannabe/cscenter,바이워너비,#20대후반#심플베이직#마켓
https://www.brandi.co.kr/shop/refreshmall/cscenter,리프레쉬몰,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/analogstudio/cscenter,아날로그스튜디오,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/monobabie/cscenter,모노바비,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/yenangnang/cscenter,예낭낭,#20대초반#심플베이직#마켓
https://www.brandi.co.kr/shop/addmore/cscenter,에드모어,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/ohheyday/cscenter,오헤이데이,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/neurumarket/cscenter,느루마켓,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/withsome/cscenter,위드썸,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/missunique/cscenter,미스유니크,#20대중반#캐주얼#마켓
https://www.brandi.co.kr/shop/haepp/cscenter,해쁘,#20대중반#러블리#쇼핑몰
https://www.brandi.co.kr/shop/robs/cscenter,롭스,#20대초반#심플베이직#로드샵
https://www.brandi.co.kr/shop/thesing/cscenter,더싱,#20대후반#페미닌#마켓
https://www.brandi.co.kr/shop/blackmonica/cscenter,블랙모니카,#20대중반#페미닌#로드샵
https://www.brandi.co.kr/shop/dearwooni/cscenter,디얼우니,#20대중반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/naivesilhouette/cscenter,나이브실루엣,#20대후반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/bommade/cscenter,봄메이드,#20대초반#캐주얼#마켓
https://www.brandi.co.kr/shop/envylook/cscenter,엔비룩,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/naturalmind/cscenter,내츄럴마인드,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/fragrance/cscenter,프라그란스,#20대중반#캐주얼#마켓
https://www.brandi.co.kr/shop/depuang/cscenter,드푸앙,#20대중반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/uptowndress/cscenter,업타운드레스,#20대후반#페미닌#로드샵
https://www.brandi.co.kr/shop/mumuk/cscenter,무무크,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/4oclock/cscenter,포어클락,#20대초반#심플베이직#마켓
https://www.brandi.co.kr/shop/misswon/cscenter,미스원,#20대후반#페미닌#쇼핑몰
