youtube_id,comment,like_num
유영주,언니 오렌즈모델해도 될거같아요 오렌즈찰떡❤❤ 언니는 화려한스타일 진짜 잘어울러요ㅜㅜ﻿,0개
풍댕댕,흐엥 언니진짜 제 워너비에요 너무 멋진 삶이에여ㅠㅠㅠ멋있어용﻿,0개
g,우왕❤️ 알림 뜨자마자 왔오요❤️﻿,1개
진예,언니 보면 진짜 행복해보여서 저까지 기분이 좋아져요❤️﻿,1개
서예원,언니 진짜 요정같아요 ㅠㅠㅠㅠ 너무 이뻐...🙊﻿,0개
Aurora,"오늘도 이사배가 이사배했다,,,🤭❤️ 갓사배언니😭😭﻿",1개
이잉햏,마지막에 집에 가는 것 같은데? 가면 안돼요! 하는거 넘 귀엽ㅠㅠㅠㅠㅠ﻿,1개
wndnjs,"다음 룩북은 세로캠으로 해주세요!!
안구 정화 잘 했습니당💕﻿",1개
롤링썬더,언니 자라슈즈 왜 이렇게 좋아해욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 근데 1:30 진짜 예쁘다 다가오는 여름에 딱이겠어요:)﻿,0개
초아,언니예벙ㅇ얌﻿,1개
jazzy205,"NONE 은 한국 브랜드 에요?
하얀색 롱 드레스 완전 네 스타일.﻿",0개
딸기,미쳤다 미모...사배님 더더더 흥하세요~~!!!!👍﻿,0개
HoLee,역시 패션의 완성은 얼굴. 뭐든 잘 소화하시는 갓사배-﻿,0개
치즈콤보,톰포드 진짜 볼드한데 ㅋㅋ언니한테 찰떡이라능﻿,0개
라파고스,크아아아아아아아 언니 톰포드 수인인줄 알았잖아요!!! 크아아아아아아아아앙﻿,0개
사배맴밈,"정말.... 늦게본 나는 .. 잃었다 할말을  이것 예쁜 말이안되는,, ...🖤﻿",0개
노정현,세번째 메이크업 너무 예뻐요ㅠㅠㅠㅠㅠㅠㅠ 언니 영상찍어주세요﻿,0개
애정합니다,와아 제가 천 번째 좋아요를 눌렀어요 별 건 아니지만 신기하고 뭔가 좋아서 댓 달아봐요😆❤️﻿,0개
천예지,look2가 블랙 스팽글 드레스는 아닌것같은뎅... 자막 오류있는것 같아용!﻿,0개
최민경,언닝 패션하울 너무너무 좋아요 ㅠㅠㅠ진짜 ㅠㅠㅠ❤️🙏﻿,0개
Yappyong얍뿅,언니 노래 제목 좀 알려주실 수 있으실까요? ㅠㅠ﻿,0개
2den,와웅 진짜 핵패셔너블 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ﻿,0개
부혠,두번째 룩 소개에서 화이트 자켓? 드레스? 인데 블랙스팽글드레스라고 잘못 들어간거같아요!!!!!!!﻿,0개
애용,"나으 싸배 여신님 크으~👍😍
룩북으로 화려한 옷 대리만족하고 갑니다요﻿",0개
